classid,moodleclass
2022T1T1E!$582!$E!$IEAP-3E!$INTER-3,IEAP-3G-2022T1T1E
2022T1T1E!$582!$E!$IEAP-4E!$IEAP-4-WR,IEAP-4W-2022T1T1E
2022T1T1E!$582!$E!$IEAP-4E!$PASS-04,IEAP-4G-2022T1T1E
2022T1T1E!$582!$E!$PRE-BEGINNER/E!$BP-1,IEAP-PG-2022T1T1E
2022T1T1E!$582!$E!$PRE-BEGINNER/E!$INTER-BEG,IEAP-PW-2022T1T1E
2022T1T1E!$582!$M!$BEGINNER/M!$BP-2,IEAP-BG-2022T1T1E
2022T1T1E!$582!$M!$BEGINNER/M!$RE-FOUND,IEAP-BW-2022T1T1E
2022T1T1E!$582!$M!$IEAP-2M!$IEAP-2-WR,IEAP-2W-2022T1T1E
2022T1T1E!$582!$M!$IEAP-2M!$INTER-2,IEAP-2G-2022T1T1E
2022T1T1E!$582!$M!$IEAP-4M!$IEAP-4-WR,IEAP-4W-2022T1T1E
2022T1T1E!$582!$M!$IEAP-4M!$PASS-04,IEAP-4G-2022T1T1E
2022T1T1E!$632!$E!$PRE-B2/A!$PRE-B2-INTRO,GESL-PB2-STEP-2022T1T1E
2022T1T1E!$632!$E!$PRE-B2/A!$PRE-B2-SMART,GESL-PB2-SMART-2022T1T1E
2022T1T1E!$632!$E!$PRE-B2/B!$PRE-B2-INTRO,GESL-PB2-STEP-2022T1T1E
2022T1T1E!$632!$E!$PRE-B2/B!$PRE-B2-SMART,GESL-PB2-SMART-2022T1T1E
2022T1T1E!$688!$E!$EHSS-10!$CS-EHSS,EHSS-CONV-2022T1T1E
2022T1T1E!$688!$E!$EHSS-10!$EW-1,EHSS-10-W-2022T1T1E
